Sample_ID,Data_Type,Condition,Damage_Type,Vent_Holes,Fiber_Volume_Fraction,Void_Content,Fiber_Orientation_Degree,LBP_Feature_1,LBP_Feature_2,Texture_Contrast,Average_Temperature,Temperature_Variance,Defect_Density,Crack_Length_mm,Fracture_Toughness,Tensile_Strength,Structural_Integrity_Class
48,C-scan (Pristine with Holes),Pristine,None,6,0.45,0.038,28.79,0.461,0.827,0.704,25.81,14.66,0.033,0.79,35.08,891.98,Medium
49,C-scan (BVID with Holes),Damaged,BVID,3,0.567,0.058,0.69,0.474,0.133,0.479,103.9,4.23,0.183,3.621,24.74,576.26,Low
50,C-scan (BVID with Holes),Damaged,BVID,5,0.521,0.057,86.56,0.901,0.96,0.683,84.84,1.9,0.172,3.897,47.63,390.34,Medium
51,C-scan (BVID with Holes),Damaged,BVID,2,0.493,0.062,73.32,0.235,0.114,0.261,72.79,14.94,0.128,2.15,45.12,489.52,Medium
52,C-scan (Pristine with Holes),Pristine,None,3,0.453,0.05,33.21,0.758,0.397,0.631,48.55,1.18,0.036,0.518,49.76,529.44,High
53,Thermograph,Mixed,None,3,0.567,0.045,68.23,0.208,0.898,0.568,115.65,10.22,0.058,2.243,50.03,491.85,High
54,C-scan (BVID with Holes),Damaged,BVID,2,0.547,0.056,80.91,0.737,0.649,0.264,75.83,9.93,0.194,1.503,51.85,702.85,Medium
55,C-scan (BVID with Holes),Damaged,BVID,6,0.543,0.052,6.89,0.725,0.327,0.265,41.97,14.78,0.128,1.525,37.04,830.52,Medium
56,Thermograph,Mixed,None,2,0.48,0.024,15.92,0.226,0.433,0.375,31.73,5.32,0.119,2.111,39.8,620.53,Medium
57,Thermograph,Mixed,None,4,0.553,0.048,13.81,0.601,0.494,0.465,36.92,3.93,0.093,2.363,44.4,468.85,Medium
58,Thermograph,Mixed,Thermal Anomaly,4,0.53,0.019,14.38,0.252,0.369,0.292,74.03,8.15,0.056,3.374,35.01,834.05,Medium
59,C-scan (BVID with Holes),Damaged,BVID,6,0.594,0.019,55.25,0.734,0.85,0.433,113.85,10.09,0.112,3.901,40.63,405.59,Medium
60,Thermograph,Mixed,None,2,0.665,0.053,74.29,0.335,0.369,0.454,78.61,1.81,0.053,3.131,38.63,537.13,Medium
61,C-scan (Pristine with Holes),Pristine,None,2,0.52,0.035,22.86,0.186,0.261,0.241,80.86,9.13,0.021,0.823,36.46,522.08,Medium
62,Thermograph,Mixed,Thermal Anomaly,2,0.592,0.074,43.98,0.962,0.725,0.579,76.47,1.7,0.142,0.561,35.87,808.7,Medium
63,Thermograph,Mixed,None,3,0.576,0.019,29.96,0.354,0.473,0.81,31.21,6.02,0.11,2.557,43.9,539.9,Medium
64,C-scan (BVID with Holes),Damaged,BVID,2,0.479,0.046,14.57,0.399,0.218,0.713,66.98,14.91,0.107,2.965,49.18,560.18,Medium
65,Thermograph,Mixed,Thermal Anomaly,4,0.473,0.019,25.34,0.493,0.403,0.862,83.34,10.7,0.033,1.907,39.69,891.38,Medium
66,C-scan (BVID with Holes),Damaged,BVID,3,0.521,0.058,74.87,0.566,0.328,0.365,52.13,9.95,0.087,4.541,28.63,408.73,Low
67,Thermograph,Mixed,None,2,0.631,0.048,86.58,0.562,0.814,0.379,104.63,13.83,0.129,0.852,27.78,864.81,Low
68,Thermograph,Mixed,None,4,0.534,0.032,4.22,0.128,0.892,0.233,26.2,4.3,0.057,2.942,20.06,411.71,Low
69,C-scan (BVID with Holes),Damaged,BVID,4,0.522,0.063,44.79,0.481,0.976,0.725,46.0,7.66,0.159,4.01,58.46,420.69,Medium
70,Thermograph,Mixed,None,6,0.482,0.032,62.22,0.316,0.769,0.678,38.02,14.2,0.053,3.083,45.14,497.09,High
71,Thermograph,Mixed,None,6,0.66,0.024,28.73,0.484,0.669,0.365,87.8,9.92,0.045,1.46,54.75,715.88,High
72,Thermograph,Mixed,None,3,0.489,0.076,19.87,0.825,0.539,0.784,33.02,8.98,0.059,2.94,24.86,737.8,Low
73,C-scan (Pristine with Holes),Pristine,None,2,0.697,0.026,19.37,0.398,0.642,0.799,51.52,4.3,0.031,0.481,47.61,545.78,High
74,C-scan (BVID with Holes),Damaged,BVID,4,0.557,0.041,4.58,0.772,0.794,0.63,113.81,4.18,0.19,4.531,35.93,647.88,Medium
75,C-scan (Pristine with Holes),Pristine,None,4,0.591,0.07,44.24,0.302,0.878,0.606,83.91,13.53,0.039,0.885,47.08,600.36,High
76,Thermograph,Mixed,Thermal Anomaly,5,0.464,0.065,59.18,0.12,0.494,0.511,51.67,8.11,0.103,1.978,45.38,429.79,Medium
77,Thermograph,Mixed,Thermal Anomaly,6,0.64,0.02,67.83,0.179,0.915,0.741,76.55,2.11,0.056,2.791,49.13,538.83,High
78,C-scan (BVID with Holes),Damaged,BVID,2,0.674,0.035,19.61,0.784,0.894,0.315,117.43,14.14,0.132,3.967,21.41,580.5,Low
79,C-scan (BVID with Holes),Damaged,BVID,5,0.559,0.066,18.67,0.589,0.318,0.784,113.39,6.13,0.195,3.506,41.35,352.84,Medium
80,C-scan (Pristine with Holes),Pristine,None,6,0.565,0.072,73.54,0.154,0.649,0.336,97.62,4.39,0.048,0.925,24.3,749.75,Low
81,Thermograph,Mixed,None,3,0.451,0.014,43.14,0.205,0.834,0.857,89.36,8.98,0.064,2.547,50.78,865.76,High
82,Thermograph,Mixed,Thermal Anomaly,2,0.586,0.076,10.39,0.201,0.315,0.359,58.53,2.48,0.043,0.768,48.75,420.0,High
83,Thermograph,Mixed,Thermal Anomaly,3,0.569,0.039,35.25,0.519,0.416,0.317,119.03,5.2,0.148,1.648,46.71,571.74,Medium
84,Thermograph,Mixed,None,5,0.495,0.069,53.55,0.303,0.255,0.689,71.67,3.01,0.092,1.365,22.99,684.72,Low
85,C-scan (BVID with Holes),Damaged,BVID,4,0.532,0.054,67.08,0.44,0.78,0.836,97.67,14.88,0.146,4.074,26.01,820.15,Low
86,C-scan (Pristine with Holes),Pristine,None,6,0.567,0.068,29.25,0.975,0.701,0.286,29.37,4.38,0.02,0.687,46.72,877.79,High
87,Thermograph,Mixed,None,6,0.48,0.038,11.55,0.354,0.889,0.324,75.93,4.97,0.112,0.595,21.86,897.27,Low
88,Thermograph,Mixed,None,3,0.505,0.052,0.8,0.534,0.836,0.555,67.62,9.36,0.05,1.172,28.47,570.97,Low
89,Thermograph,Mixed,None,2,0.679,0.013,32.45,0.882,0.661,0.415,99.65,2.32,0.084,3.003,35.98,634.98,Medium
90,C-scan (Pristine with Holes),Pristine,None,2,0.672,0.036,32.17,0.62,0.117,0.484,54.36,7.16,0.034,0.384,54.17,492.65,High
91,Thermograph,Mixed,None,3,0.65,0.065,65.3,0.218,0.839,0.327,47.49,0.69,0.063,3.061,56.13,681.1,High
92,Thermograph,Mixed,None,3,0.659,0.037,36.27,0.55,0.91,0.207,67.09,6.84,0.081,0.6,56.67,509.85,Medium
93,Thermograph,Mixed,None,6,0.681,0.037,61.92,0.53,0.41,0.578,108.35,5.53,0.066,2.671,20.46,845.92,Low
94,C-scan (Pristine with Holes),Pristine,None,3,0.665,0.064,34.74,0.281,0.426,0.541,64.67,3.66,0.044,0.385,48.52,684.74,High
95,C-scan (Pristine with Holes),Pristine,None,5,0.615,0.08,86.76,0.691,0.88,0.848,29.57,11.98,0.015,0.612,34.63,350.19,Medium
96,C-scan (BVID with Holes),Damaged,BVID,3,0.668,0.012,23.32,0.959,0.245,0.825,34.41,13.81,0.153,1.781,37.98,850.68,Medium
97,C-scan (BVID with Holes),Damaged,BVID,5,0.468,0.075,76.45,0.965,0.425,0.37,97.17,13.6,0.096,3.106,42.76,811.4,Medium
98,C-scan (BVID with Holes),Damaged,BVID,3,0.662,0.018,69.86,0.774,0.153,0.5,111.27,7.15,0.198,1.487,48.11,683.06,Medium
99,C-scan (BVID with Holes),Damaged,BVID,4,0.55,0.028,62.55,0.769,0.198,0.764,68.9,5.79,0.174,4.925,54.17,821.71,Medium
100,C-scan (BVID with Holes),Damaged,BVID,2,0.578,0.067,84.28,0.284,0.957,0.582,116.46,10.84,0.161,2.171,55.46,668.59,Medium
101,C-scan (BVID with Holes),Damaged,BVID,2,0.577,0.078,62.38,0.374,0.149,0.279,40.68,8.16,0.153,1.163,46.34,605.37,Medium
102,C-scan (Pristine with Holes),Pristine,None,3,0.568,0.021,38.78,0.781,0.708,0.256,101.11,7.36,0.037,0.471,46.25,453.16,High
103,C-scan (Pristine with Holes),Pristine,None,4,0.626,0.019,23.81,0.178,0.244,0.866,93.27,4.34,0.043,0.83,39.03,887.23,Medium
104,C-scan (Pristine with Holes),Pristine,None,6,0.503,0.051,43.76,0.362,0.195,0.672,106.5,1.5,0.044,0.115,34.8,433.84,Medium
105,C-scan (BVID with Holes),Damaged,BVID,4,0.457,0.038,89.18,0.486,0.458,0.311,67.12,3.1,0.126,3.198,54.12,841.05,Medium
106,C-scan (Pristine with Holes),Pristine,None,6,0.648,0.079,53.38,0.79,0.535,0.82,117.92,7.36,0.046,0.576,25.58,658.16,Low
107,C-scan (Pristine with Holes),Pristine,None,4,0.47,0.013,27.56,0.405,0.921,0.872,62.11,13.03,0.029,0.956,50.23,759.04,High
108,C-scan (Pristine with Holes),Pristine,None,2,0.655,0.048,68.32,0.391,0.468,0.302,51.91,10.53,0.048,0.543,31.49,817.4,Medium
109,C-scan (Pristine with Holes),Pristine,None,6,0.582,0.027,76.33,0.84,0.779,0.36,26.09,8.29,0.048,0.129,54.75,449.83,High
110,Thermograph,Mixed,None,6,0.664,0.067,89.06,0.669,0.466,0.491,101.94,6.92,0.145,2.761,48.43,595.52,Medium
111,C-scan (BVID with Holes),Damaged,BVID,6,0.453,0.076,49.45,0.263,0.774,0.693,35.32,10.82,0.18,1.582,33.19,465.42,Medium
112,Thermograph,Mixed,Thermal Anomaly,5,0.638,0.032,24.05,0.672,0.7,0.811,49.2,13.22,0.037,3.265,49.94,818.41,High
113,Thermograph,Mixed,None,5,0.63,0.059,29.39,0.722,0.885,0.642,106.18,0.57,0.143,0.991,32.55,679.42,Medium
114,Thermograph,Mixed,Thermal Anomaly,6,0.496,0.023,1.63,0.425,0.867,0.302,113.73,0.53,0.034,1.206,58.06,824.74,High
115,C-scan (BVID with Holes),Damaged,BVID,6,0.539,0.045,1.83,0.356,0.661,0.357,119.18,0.62,0.177,4.868,32.95,422.22,Medium
116,C-scan (BVID with Holes),Damaged,BVID,2,0.505,0.014,65.08,0.352,0.802,0.37,113.92,3.45,0.143,1.595,21.88,416.23,Low
117,Thermograph,Mixed,None,4,0.47,0.028,2.11,0.122,0.825,0.856,115.59,5.46,0.075,1.137,33.71,789.53,Medium
118,C-scan (Pristine with Holes),Pristine,None,4,0.589,0.07,19.28,0.174,0.508,0.457,109.9,13.69,0.011,0.177,27.27,816.27,Low
119,Thermograph,Mixed,None,5,0.628,0.028,60.71,0.818,0.42,0.736,76.07,4.04,0.043,1.966,49.24,392.9,High
120,Thermograph,Mixed,Thermal Anomaly,6,0.652,0.079,5.4,0.399,0.29,0.492,81.74,1.04,0.072,0.543,34.39,825.46,Medium
121,Thermograph,Mixed,Thermal Anomaly,4,0.525,0.067,42.14,0.825,0.261,0.223,47.34,14.16,0.041,3.117,56.78,761.81,High
122,Thermograph,Mixed,Thermal Anomaly,6,0.559,0.042,19.2,0.276,0.213,0.73,49.99,12.86,0.049,1.672,43.53,557.69,Medium
123,C-scan (BVID with Holes),Damaged,BVID,5,0.504,0.074,80.13,0.405,0.366,0.302,67.12,2.53,0.165,4.39,27.67,780.57,Low
124,C-scan (BVID with Holes),Damaged,BVID,3,0.66,0.051,1.39,0.887,0.382,0.395,70.22,5.88,0.149,3.675,28.56,764.43,Low
125,C-scan (Pristine with Holes),Pristine,None,3,0.539,0.079,31.11,0.796,0.624,0.684,102.57,4.03,0.038,0.239,47.65,672.24,High
126,C-scan (Pristine with Holes),Pristine,None,6,0.681,0.02,66.65,0.167,0.298,0.545,44.68,4.8,0.024,0.629,42.46,533.96,Medium
127,C-scan (Pristine with Holes),Pristine,None,4,0.639,0.075,75.41,0.392,0.326,0.357,89.05,6.87,0.048,0.781,34.17,633.97,Medium
128,Thermograph,Mixed,None,2,0.612,0.074,71.14,0.244,0.458,0.216,88.52,1.76,0.097,1.48,21.7,552.19,Low
129,C-scan (BVID with Holes),Damaged,BVID,6,0.672,0.071,25.53,0.322,0.691,0.606,65.7,6.86,0.122,1.866,31.68,789.62,Medium
130,C-scan (Pristine with Holes),Pristine,None,2,0.454,0.03,20.47,0.904,0.267,0.886,85.57,6.55,0.022,0.48,38.73,740.93,Medium
131,C-scan (Pristine with Holes),Pristine,None,2,0.639,0.018,41.67,0.248,0.555,0.835,95.59,5.28,0.023,0.847,47.67,421.26,High
132,C-scan (Pristine with Holes),Pristine,None,5,0.451,0.029,24.76,0.969,0.278,0.576,75.19,8.79,0.046,0.595,30.68,637.16,Medium
133,C-scan (Pristine with Holes),Pristine,None,5,0.654,0.029,6.64,0.948,0.535,0.779,63.71,10.92,0.032,0.106,20.45,733.86,Low
134,C-scan (Pristine with Holes),Pristine,None,2,0.583,0.039,74.63,0.829,0.834,0.658,70.53,8.17,0.014,0.781,50.3,669.88,High
135,C-scan (Pristine with Holes),Pristine,None,6,0.637,0.035,22.3,0.853,0.726,0.88,63.81,3.82,0.04,0.864,34.9,815.57,Medium
136,Thermograph,Mixed,None,2,0.487,0.074,88.68,0.565,0.674,0.281,114.15,3.09,0.049,1.235,51.71,888.61,High
137,C-scan (Pristine with Holes),Pristine,None,3,0.451,0.037,78.32,0.825,0.353,0.81,79.71,14.82,0.04,0.416,25.32,408.56,Low
138,C-scan (Pristine with Holes),Pristine,None,6,0.687,0.065,40.83,0.544,0.956,0.723,97.33,5.57,0.046,0.598,25.28,542.03,Low
139,Thermograph,Mixed,None,3,0.692,0.017,3.37,0.443,0.84,0.423,113.64,13.83,0.087,1.526,45.83,822.37,Medium
140,Thermograph,Mixed,None,3,0.531,0.053,22.29,0.684,0.877,0.697,89.2,0.9,0.088,2.208,27.88,375.38,Low
141,C-scan (BVID with Holes),Damaged,BVID,4,0.522,0.049,60.82,0.173,0.559,0.384,85.79,13.09,0.123,4.758,43.23,853.53,Medium
142,C-scan (Pristine with Holes),Pristine,None,6,0.472,0.05,51.05,0.645,0.907,0.666,107.55,13.12,0.02,0.478,41.88,592.03,Medium
143,C-scan (BVID with Holes),Damaged,BVID,2,0.689,0.039,34.87,0.85,0.62,0.678,56.21,0.59,0.176,2.908,20.2,376.38,Low
144,C-scan (Pristine with Holes),Pristine,None,2,0.633,0.01,17.35,0.741,0.776,0.523,30.51,6.79,0.012,0.58,35.46,835.86,Medium
145,C-scan (Pristine with Holes),Pristine,None,6,0.596,0.03,34.14,0.57,0.45,0.251,119.9,5.75,0.029,0.474,44.73,502.08,Medium
146,C-scan (Pristine with Holes),Pristine,None,2,0.69,0.053,39.17,0.451,0.932,0.357,58.31,6.51,0.044,0.546,59.91,849.0,High
147,C-scan (BVID with Holes),Damaged,BVID,3,0.615,0.048,61.5,0.341,0.637,0.69,120.0,13.15,0.145,2.764,47.5,623.71,Medium
148,C-scan (Pristine with Holes),Pristine,None,2,0.512,0.017,39.99,0.18,0.891,0.818,94.21,14.56,0.031,0.886,37.62,590.52,Medium
149,Thermograph,Mixed,None,3,0.497,0.044,12.63,0.391,0.167,0.535,83.71,12.97,0.117,1.617,40.82,688.44,Medium
150,C-scan (Pristine with Holes),Pristine,None,3,0.557,0.073,0.93,0.846,0.467,0.465,71.61,14.48,0.043,0.913,37.68,640.92,Medium
151,C-scan (BVID with Holes),Damaged,BVID,5,0.525,0.062,50.01,0.477,0.311,0.479,43.57,2.18,0.081,2.938,39.06,610.51,Medium
152,Thermograph,Mixed,None,2,0.613,0.038,23.57,0.934,0.382,0.458,78.17,8.69,0.098,0.959,21.44,650.13,Low
153,C-scan (BVID with Holes),Damaged,BVID,6,0.509,0.056,67.07,0.635,0.145,0.698,35.2,1.26,0.115,2.395,50.23,350.94,Medium
154,C-scan (BVID with Holes),Damaged,BVID,5,0.51,0.053,42.16,0.809,0.126,0.651,34.48,5.81,0.102,2.455,37.53,530.33,Medium
155,C-scan (BVID with Holes),Damaged,BVID,6,0.567,0.077,71.45,0.769,0.21,0.374,110.87,1.2,0.177,2.573,24.85,532.09,Low
156,C-scan (BVID with Holes),Damaged,BVID,2,0.468,0.019,41.58,0.641,0.63,0.789,43.58,1.36,0.086,1.167,44.6,535.74,Medium
157,Thermograph,Mixed,Thermal Anomaly,6,0.519,0.013,54.95,0.9,0.749,0.476,86.02,0.65,0.08,3.209,25.49,736.24,Low
158,C-scan (Pristine with Holes),Pristine,None,6,0.694,0.043,62.69,0.691,0.469,0.503,58.4,8.13,0.032,0.74,56.85,878.89,High
159,C-scan (Pristine with Holes),Pristine,None,5,0.549,0.064,4.22,0.541,0.977,0.366,101.33,8.63,0.013,0.543,56.08,507.09,High
160,Thermograph,Mixed,None,5,0.697,0.024,22.14,0.172,0.572,0.644,35.81,8.07,0.063,3.223,35.63,508.29,Medium
161,Thermograph,Mixed,Thermal Anomaly,4,0.672,0.068,80.45,0.218,0.935,0.552,56.23,7.84,0.061,2.151,56.2,811.14,High
162,Thermograph,Mixed,Thermal Anomaly,4,0.559,0.051,22.76,0.571,0.309,0.328,77.44,9.48,0.063,1.091,45.28,850.15,High
163,C-scan (BVID with Holes),Damaged,BVID,6,0.507,0.037,16.04,0.74,0.131,0.71,36.13,6.22,0.115,3.016,49.07,411.38,Medium
164,C-scan (BVID with Holes),Damaged,BVID,6,0.498,0.023,56.05,0.674,0.889,0.495,63.81,8.12,0.156,1.435,31.68,557.51,Medium
165,C-scan (BVID with Holes),Damaged,BVID,4,0.684,0.025,24.36,0.749,0.933,0.458,118.35,9.98,0.116,4.104,29.29,618.06,Low
166,C-scan (Pristine with Holes),Pristine,None,5,0.483,0.08,8.22,0.748,0.784,0.233,39.63,11.17,0.024,0.528,58.1,459.35,High
167,C-scan (BVID with Holes),Damaged,BVID,5,0.563,0.022,3.08,0.672,0.692,0.246,102.4,12.34,0.199,2.248,39.28,790.14,Medium
168,C-scan (BVID with Holes),Damaged,BVID,4,0.652,0.04,20.87,0.634,0.597,0.556,65.08,5.45,0.187,1.89,42.4,785.94,Medium
169,Thermograph,Mixed,None,5,0.452,0.043,43.55,0.388,0.271,0.825,71.51,14.01,0.032,2.865,22.4,854.73,Low
170,C-scan (BVID with Holes),Damaged,BVID,4,0.596,0.041,1.37,0.367,0.569,0.79,106.38,2.39,0.116,3.525,43.51,600.06,Medium
171,C-scan (BVID with Holes),Damaged,BVID,6,0.555,0.035,41.47,0.452,0.502,0.633,38.81,6.88,0.147,2.149,51.46,648.54,Medium
172,C-scan (BVID with Holes),Damaged,BVID,4,0.56,0.075,23.45,0.999,0.439,0.35,41.04,2.19,0.135,3.781,46.61,833.79,Medium
173,Thermograph,Mixed,None,3,0.556,0.034,29.89,0.521,0.862,0.523,48.01,8.79,0.034,0.601,28.27,412.93,Low
174,C-scan (BVID with Holes),Damaged,BVID,2,0.615,0.022,51.31,0.3,0.985,0.399,63.65,10.65,0.18,4.386,40.17,514.13,Medium
175,C-scan (Pristine with Holes),Pristine,None,6,0.533,0.051,1.58,0.506,0.246,0.886,44.85,13.77,0.031,0.821,21.25,762.21,Low
176,Thermograph,Mixed,None,2,0.637,0.052,87.79,0.639,0.495,0.838,85.17,14.78,0.071,0.621,59.9,891.38,High
177,Thermograph,Mixed,Thermal Anomaly,3,0.525,0.018,64.46,0.615,0.94,0.877,64.42,13.83,0.149,1.891,46.81,662.68,Medium
178,C-scan (BVID with Holes),Damaged,BVID,2,0.549,0.02,2.74,0.959,0.588,0.213,57.26,2.59,0.122,1.16,56.44,420.01,Medium
179,C-scan (Pristine with Holes),Pristine,None,2,0.673,0.027,53.2,0.402,0.36,0.711,95.32,12.86,0.012,0.171,20.75,793.03,Low
180,C-scan (BVID with Holes),Damaged,BVID,5,0.629,0.034,41.21,0.775,0.775,0.619,32.0,11.19,0.086,2.072,40.51,360.43,Medium
181,C-scan (Pristine with Holes),Pristine,None,4,0.5,0.025,20.85,0.778,0.724,0.371,102.07,2.61,0.028,0.46,31.67,490.58,Medium
182,C-scan (Pristine with Holes),Pristine,None,4,0.557,0.037,29.43,0.335,0.628,0.881,93.28,0.69,0.044,0.906,56.13,696.12,High
183,Thermograph,Mixed,None,2,0.559,0.029,51.65,0.799,0.244,0.585,38.3,2.88,0.033,0.603,54.41,867.39,High
